Description,"Apples, raw, with skin","Avocados, raw, all commercial varieties","Grapefruit, raw, pink and red and white, all areas",Arugula,"Broccoli, raw","Brussels sprouts, raw","Carrots, raw","Eggplant, raw","Onions, raw"
NBD_No,09003,09037,09111,11959,11090,11098,11124,11209,11282
1 cup or individual measure,"1.0 cup, quartered or chopped","1.0 cup, cubes","1.0 cup sections, with juice",1.0 leaf,1.0 cup chopped,1.0 cup,1.0 cup chopped,"1.0 cup, cubes","1.0 cup, chopped"
Weight as cup or individual measure (g),125,150,230,2,91,88,128,82,160
Water  (g),85.56,73.23,90.89,91.71,89.3,86,88.29,92.3,89.11
Energy (kcal),52,160,32,25,34,43,41,25,40
Protein (g),0.26,2,0.63,2.58,2.82,3.38,0.93,0.98,1.1
Total lipid (fat) (g),0.17,14.66,0.1,0.66,0.37,0.3,0.24,0.18,0.1
"Carbohydrate, by difference (g)",13.81,8.53,8.08,3.65,6.64,8.95,9.58,5.88,9.34
"Fiber, total dietary (g)",2.4,6.7,1.1,1.6,2.6,3.8,2.8,3,1.7
"Sugars, total (g)",10.39,0.66,6.98,2.05,1.7,2.2,4.74,3.53,4.24
"Calcium, Ca (mg)",6,12,12,160,47,42,33,9,23
"Iron, Fe (mg)",0.12,0.55,0.09,1.46,0.73,1.4,0.38,0.23,0.21
"Magnesium, Ma (mg)",5,29,8,47,21,23,12,14,10
"Phosphorus, P (mg)",11,52,8,52,66,69,35,24,29
"Potassium, K (mg)",107,485,139,369,316,389,320,229,146
"Sodium, Na (mg)",1,7,0,27,33,25,69,2,4
"Zinc, Zn (mg)",0.04,0.64,0.07,0.47,0.41,0.42,0.24,0.16,0.17
"Vitamin C, total ascorbic acid (mg)",4.6,10,34.4,15,89.2,85,5.9,2.2,7.4
Thiamin (mg),0.017,0.067,0.036,0.044,0.071,0.139,0.066,0.039,0.046
Riboflavin (mg),0.026,0.13,0.02,0.086,0.117,0.09,0.058,0.037,0.027
Niacin (mg),0.091,1.738,0.25,0.305,0.639,0.745,0.983,0.649,0.116
Vitamin B-6 (mg),0.041,0.257,0.042,0.073,0.175,0.219,0.138,0.084,0.12
"Folate, DFE (µg)",3,81,10,97,63,61,19,22,19
Vitamin B-12 (µg),0,0,0,0,0,0,0,0,0
"Vitamin A, RAE (µg)",3,7,46,119,31,38,835,1,0
"Vitamin A, IU (IU)",54,146,927,2373,623,754,16706,23,2
Vitamin E (alpha-tocopherol) (mg),0.18,2.07,0.13,0.43,0.78,0.88,0.66,0.3,0.02
Vitamin D (D2 + D3) (µg),0,0,0,0,0,0,0,0,0
Vitamin D (IU),0,0,0,0,0,0,0,0,0
Vitamin K (phylloquinone) (µg),2.2,21,0,108.6,101.6,177,13.2,3.5,0.4
"Fatty acids, total saturated (g)",0.028,2.126,0.014,0.086,0.039,0.062,0.037,0.034,0.042
"Fatty acids, total monosaturated (g)",0.007,9.799,0.013,0.049,0.011,0.023,0.014,0.016,0.013
"Fatty acids, total polyunsaturated (g)",0.051,1.816,0.024,0.319,0.038,0.153,0.117,0.076,0.017
"Fatty acids, total trans (g)",0,0,0,0,0,0,0,0,0
Cholesterol (mg),0,0,0,0,0,0,0,0,0
Caffeine (mg),0,0,0,0,0,0,0,0,0
